Time Casa;Time Visitante;Resultado
Bahia;Fluminense;2-1
Cuiabá;Vitória;None-None
Grêmio;Athlético-PR;2-0
Bragantino;Vasco;2-1
Atlético-MG;Criciúma;1-1
Palmeiras;Internacional;0-1
Fortaleza;Cruzeiro;1-1
Juventude;Corinthians;2-0
Flamengo;São Paulo;2-1
Botafogo;Atlético-GO;1-0
