Time Casa;Time Visitante;Resultado
Internacional;Bahia;2-1
Criciúma;Juventude;1-1
Fluminense;Bragantino;2-2
São Paulo;Fortaleza;1-2
Vasco;Grêmio;2-1
Corinthians;Atlético-MG;0-0
Athlético-PR;Cuiabá;4-0
Atlético-GO;Flamengo;1-2
Cruzeiro;Botafogo;3-2
Vitória;Palmeiras;0-1
